Molecule_Name,connectivity_key,family_id,outer_fold,analog_unit_rank,tanimoto_to_anchor,unit_min_tanimoto_to_anchor,anchor_Molecule_Name,anchor_connectivity_key,anchor_isoform,anchor_rank,anchor_candidate_rank,anchor_direct_pIC50
OCNT-2312376,UIPHQHVWOXUIQY,CYP1A2_R06_OCNT-2312418,0,1,0.5396825396825397,0.5396825396825397,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-2312825,ZNXZZLAYPIECGS,CYP1A2_R06_OCNT-2312418,0,2,0.5396825396825397,0.5396825396825397,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-2308613,GEIMNQZCPAZKBE,CYP1A2_R06_OCNT-2312418,0,3,0.45714285714285713,0.45714285714285713,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-2313996,XMUSWZXWTNNACE,CYP1A2_R06_OCNT-2312418,0,4,0.44776119402985076,0.44776119402985076,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-0462986,LGCWDIWVCFEGNE,CYP1A2_R06_OCNT-2312418,0,5,0.4430379746835443,0.4430379746835443,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-0462966,DFWIPWJPABZTDS,CYP1A2_R06_OCNT-2312418,0,6,0.4342105263157895,0.4342105263157895,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-0462992,QWMKMECKGSJZTI,CYP1A2_R06_OCNT-2312418,0,7,0.425,0.425,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-2309598,XWCLCJYWVJRTHA,CYP1A2_R06_OCNT-2312418,0,8,0.421875,0.421875,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-2317602,NUTZUNBKQQVLBS,CYP1A2_R06_OCNT-2312418,0,9,0.3918918918918919,0.3918918918918919,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-0497499,LZOCRTGDFVXVLX,CYP1A2_R06_OCNT-2312418,0,10,0.35294117647058826,0.35294117647058826,OCNT-2312418,PIKOQLVRUZGZGM,CYP1A2,6,32,6.818886595
OCNT-2313023,AYMXSLBJADKSFF,CYP1A2_R11_OCNT-2313625,0,1,0.4084507042253521,0.4084507042253521,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-0493933,WZKBPTIRLCFSPF,CYP1A2_R11_OCNT-2313625,0,2,0.39285714285714285,0.39285714285714285,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-2314895,KNTPHJCKWPHKJW,CYP1A2_R11_OCNT-2313625,0,3,0.38461538461538464,0.38461538461538464,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-2318399,DJTKECHTBVUIMX,CYP1A2_R11_OCNT-2313625,0,4,0.375,0.375,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-2310878,QNTYSVXEXCRUEK,CYP1A2_R11_OCNT-2313625,0,5,0.36923076923076925,0.36923076923076925,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-2313241,YRRHXQBCLVLMPM,CYP1A2_R11_OCNT-2313625,0,6,0.36231884057971014,0.36231884057971014,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-2309871,ZCEYLWXXNMDZEQ,CYP1A2_R11_OCNT-2313625,0,7,0.35714285714285715,0.35714285714285715,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-2318673,UPCWUTJSUGEWMZ,CYP1A2_R11_OCNT-2313625,0,8,0.35294117647058826,0.35294117647058826,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-0498195,WZYOSMAXXLCTGP,CYP1A2_R11_OCNT-2313625,0,9,0.3469387755102041,0.3469387755102041,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-2315126,VJHDBUJUYUPJJI,CYP1A2_R11_OCNT-2313625,0,10,0.3384615384615385,0.3384615384615385,OCNT-2313625,GDKZUNMFXBASGH,CYP1A2,11,91,6.236445705
OCNT-2313403,KIKPMPBGGCAAPM,CYP1A2_R16_OCNT-2312610,0,1,0.5714285714285714,0.5714285714285714,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-2317182,KXOBRUHKOVDSJD,CYP1A2_R16_OCNT-2312610,0,2,0.5531914893617021,0.5531914893617021,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-2310240,LIVYGBIZZCPGDX,CYP1A2_R16_OCNT-2312610,0,3,0.5416666666666666,0.5416666666666666,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-0494150,GYWQBPYNAGLBSC,CYP1A2_R16_OCNT-2312610,0,4,0.4782608695652174,0.4782608695652174,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-2310680,AXXIEJDVBYZXLK,CYP1A2_R16_OCNT-2312610,0,5,0.47368421052631576,0.47368421052631576,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-2312104,ZCWNGZGUCNIROI,CYP1A2_R16_OCNT-2312610,0,6,0.4166666666666667,0.4166666666666667,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-2311370,IFDGZZUSIYMRQQ,CYP1A2_R16_OCNT-2312610,0,7,0.3898305084745763,0.3898305084745763,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-2317126,MSGZOSCMRKZOEH,CYP1A2_R16_OCNT-2312610,0,8,0.3793103448275862,0.3793103448275862,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-2395791,JBAZLIIRSZFELZ,CYP1A2_R16_OCNT-2312610,0,9,0.3793103448275862,0.3793103448275862,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-2313188,RHWCGKBEHRZPHU,CYP1A2_R16_OCNT-2312610,0,10,0.36666666666666664,0.36666666666666664,OCNT-2312610,ULZMMJCEUCGMST,CYP1A2,16,188,5.845306095
OCNT-2328961,QELSKZZBTMNZEB,CYP1A2_R21_OCNT-2328316,0,1,0.7931034482758621,0.7931034482758621,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-2328733,IUWVALYLNVXWKX,CYP1A2_R21_OCNT-2328316,0,2,0.71875,0.71875,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-2328798,NUVBSKCKDOMJSU,CYP1A2_R21_OCNT-2328316,0,3,0.6666666666666666,0.6666666666666666,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-2328962,MOZDKDIOPSPTBH,CYP1A2_R21_OCNT-2328316,0,4,0.5142857142857142,0.5142857142857142,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-2328752,GKCBAIGFKIBETG,CYP1A2_R21_OCNT-2328316,0,5,0.4883720930232558,0.4883720930232558,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-0497946,IZJRISIINLJVBU,CYP1A2_R21_OCNT-2328316,0,6,0.46511627906976744,0.46511627906976744,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-0494110,RGLYKWWBQGJZGM,CYP1A2_R21_OCNT-2328316,0,7,0.45161290322580644,0.45161290322580644,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-2328974,WYWZRNAHINYAEF,CYP1A2_R21_OCNT-2328316,0,8,0.4222222222222222,0.4222222222222222,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-2328565,SESFRYSPDFLNCH,CYP1A2_R21_OCNT-2328316,0,9,0.3888888888888889,0.3888888888888889,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-2328941,VLDFMKOUUQYFGF,CYP1A2_R21_OCNT-2328316,0,10,0.3409090909090909,0.3409090909090909,OCNT-2328316,QFOHBWFCKVYLES,CYP1A2,21,225,5.78291153
OCNT-2310925,REIBCFLOVHGSRJ,CYP2C9_R05_OCNT-2317181,0,1,0.532258064516129,0.532258064516129,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2312932,PSDQGZLAVGATAM,CYP2C9_R05_OCNT-2317181,0,2,0.43548387096774194,0.43548387096774194,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2310023,GJHOQPYBMAKJRB,CYP2C9_R05_OCNT-2317181,0,3,0.4307692307692308,0.4307692307692308,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2312510,LRGZQHARSMWCIS,CYP2C9_R05_OCNT-2317181,0,4,0.4166666666666667,0.4166666666666667,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2310041,OQNCBOFIXGDOFI,CYP2C9_R05_OCNT-2317181,0,5,0.4084507042253521,0.4084507042253521,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2317668,LNBBIANUWQLMSS,CYP2C9_R05_OCNT-2317181,0,6,0.39436619718309857,0.39436619718309857,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2314483,NWNMCXZQYBPRPZ,CYP2C9_R05_OCNT-2317181,0,7,0.38028169014084506,0.38028169014084506,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2310801,QKIICPDXFBIHFL,CYP2C9_R05_OCNT-2317181,0,8,0.37333333333333335,0.37333333333333335,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2310401,UKDDZRBOIOQMJY,CYP2C9_R05_OCNT-2317181,0,9,0.36,0.36,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2395497,HWCUEKLVUOSNQX,CYP2C9_R05_OCNT-2317181,0,10,0.352112676056338,0.352112676056338,OCNT-2317181,CGTNELINAFTBOA,CYP2C9,5,17,6.264391032
OCNT-2308684,DHQWOWWYSIXUOX,CYP2C9_R10_OCNT-2311787,0,1,0.5,0.5,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-2310351,KJHJATDGICCULE,CYP2C9_R10_OCNT-2311787,0,2,0.48,0.48,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-2309931,KKGXMRNXJMSNQL,CYP2C9_R10_OCNT-2311787,0,3,0.4444444444444444,0.4444444444444444,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-0495765,AFAFDMOIWWTYNC,CYP2C9_R10_OCNT-2311787,0,4,0.4117647058823529,0.4117647058823529,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-2315139,NSGCRWKYWZTZPF,CYP2C9_R10_OCNT-2311787,0,5,0.410958904109589,0.410958904109589,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-2314603,YVNZWBMVYHHHAQ,CYP2C9_R10_OCNT-2311787,0,6,0.38961038961038963,0.38961038961038963,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-2314450,HVIJOBHTSPWXFX,CYP2C9_R10_OCNT-2311787,0,7,0.37333333333333335,0.37333333333333335,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-2310726,GOHPXULFFDBKGC,CYP2C9_R10_OCNT-2311787,0,8,0.3698630136986301,0.3698630136986301,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-0458076,CEQWVPVLJFJUBO,CYP2C9_R10_OCNT-2311787,0,9,0.36904761904761907,0.36904761904761907,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-2314296,CFCKXKAHIRNCFO,CYP2C9_R10_OCNT-2311787,0,10,0.3684210526315789,0.3684210526315789,OCNT-2311787,OBNHVXTUARWNPW,CYP2C9,10,47,5.87755966
OCNT-2317476,YKCSTTVXHKLLAP,CYP2C9_R15_OCNT-2318117,0,1,0.46153846153846156,0.46153846153846156,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-2310479,KRVFRBXSBYEUED,CYP2C9_R15_OCNT-2318117,0,2,0.45454545454545453,0.45454545454545453,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-2313267,JGIPHLUSPCSBAK,CYP2C9_R15_OCNT-2318117,0,3,0.43243243243243246,0.43243243243243246,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-2311780,QKHYTYJMUYSRFF,CYP2C9_R15_OCNT-2318117,0,4,0.4025974025974026,0.4025974025974026,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-2315294,DZZVVUKOBSRNAM,CYP2C9_R15_OCNT-2318117,0,5,0.39759036144578314,0.39759036144578314,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-2310831,VNCFAVVBLJJAFO,CYP2C9_R15_OCNT-2318117,0,6,0.38461538461538464,0.38461538461538464,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-0457420,BLWMGCOXHBKIBO,CYP2C9_R15_OCNT-2318117,0,7,0.38271604938271603,0.38271604938271603,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-2318324,WKLFNRWGRUQSCD,CYP2C9_R15_OCNT-2318117,0,8,0.37349397590361444,0.37349397590361444,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-2312617,NKDOBKPPCCBZAM,CYP2C9_R15_OCNT-2318117,0,9,0.35064935064935066,0.35064935064935066,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-2315448,GNVOYDAHBDQAQC,CYP2C9_R15_OCNT-2318117,0,10,0.345679012345679,0.345679012345679,OCNT-2318117,QGOIKUNMZODDJF,CYP2C9,15,85,5.665634967
OCNT-2316003,MVEPKMUQYNJZEZ,CYP2C9_R20_OCNT-2312486,0,1,0.44155844155844154,0.44155844155844154,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2311714,NIWGHJVYXHFVSV,CYP2C9_R20_OCNT-2312486,0,2,0.4,0.4,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2312348,POQXUFMEUYGOGU,CYP2C9_R20_OCNT-2312486,0,3,0.37662337662337664,0.37662337662337664,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2317866,IZTKMBZGNDQRAV,CYP2C9_R20_OCNT-2312486,0,4,0.37333333333333335,0.37333333333333335,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2309806,TXWRWZKMDWLPJI,CYP2C9_R20_OCNT-2312486,0,5,0.36585365853658536,0.36585365853658536,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2316163,KKEULVBKRYJFFQ,CYP2C9_R20_OCNT-2312486,0,6,0.36,0.36,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2313119,DIDURIXSXBWFPC,CYP2C9_R20_OCNT-2312486,0,7,0.3375,0.3375,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2313630,RRJAHDBFCJZDHY,CYP2C9_R20_OCNT-2312486,0,8,0.3375,0.3375,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2310522,SHFKEHYHFQIENX,CYP2C9_R20_OCNT-2312486,0,9,0.3373493975903614,0.3373493975903614,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2318022,NGLQWYBBWZPWAG,CYP2C9_R20_OCNT-2312486,0,10,0.3333333333333333,0.3333333333333333,OCNT-2312486,DGSWVMHTWBEKTA,CYP2C9,20,167,5.443233575
OCNT-2310994,YWWRVIGZMFEUSK,CYP2C9_R25_OCNT-2313981,0,1,0.45714285714285713,0.45714285714285713,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2313726,JCBXMWZFTVXMIJ,CYP2C9_R25_OCNT-2313981,0,2,0.43548387096774194,0.43548387096774194,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2310827,LJFXZOYYLNSQSQ,CYP2C9_R25_OCNT-2313981,0,3,0.39436619718309857,0.39436619718309857,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2308626,HQIXODCYFGBKNG,CYP2C9_R25_OCNT-2313981,0,4,0.3835616438356164,0.3835616438356164,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2317280,OMQDGDIDGWFKFW,CYP2C9_R25_OCNT-2313981,0,5,0.38028169014084506,0.38028169014084506,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2313698,YHTUZAYNHYDMMU,CYP2C9_R25_OCNT-2313981,0,6,0.36,0.36,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2309204,CXEGWPXHHRYGGB,CYP2C9_R25_OCNT-2313981,0,7,0.3424657534246575,0.3424657534246575,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2318171,GVZBSYAQXVSFEA,CYP2C9_R25_OCNT-2313981,0,8,0.34177215189873417,0.34177215189873417,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2313099,XMGSKHFJBUJBTI,CYP2C9_R25_OCNT-2313981,0,9,0.3382352941176471,0.3382352941176471,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2317467,HAUTWPJDAGPWES,CYP2C9_R25_OCNT-2313981,0,10,0.3380281690140845,0.3380281690140845,OCNT-2313981,LAZCRDSVQVATOJ,CYP2C9,25,244,5.2200345
OCNT-2308475,HCCPDJMGEYCQRE,CYP3A4_R04_OCNT-2395590,0,1,0.6862745098039216,0.6862745098039216,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395598,QXRGFDPWLBFMTO,CYP3A4_R04_OCNT-2395590,0,2,0.6382978723404256,0.6382978723404256,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395386,SRQOTCAYYLJUGZ,CYP3A4_R04_OCNT-2395590,0,3,0.6226415094339622,0.6226415094339622,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395602,INPVMHGBOBZEPM,CYP3A4_R04_OCNT-2395590,0,4,0.6,0.6,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395631,YDVFKKIYGVLNGT,CYP3A4_R04_OCNT-2395590,0,5,0.5818181818181818,0.5818181818181818,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395635,VAWUHRUTHFYQRC,CYP3A4_R04_OCNT-2395590,0,6,0.5714285714285714,0.5714285714285714,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395382,IESKIIPQTZZPPE,CYP3A4_R04_OCNT-2395590,0,7,0.5636363636363636,0.5636363636363636,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395594,OVAGPSZPAVXQQC,CYP3A4_R04_OCNT-2395590,0,8,0.5535714285714286,0.5535714285714286,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395606,OYBCLJJKAIHXRC,CYP3A4_R04_OCNT-2395590,0,9,0.5535714285714286,0.5535714285714286,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395490,CRMFSWNFDRJFJV,CYP3A4_R04_OCNT-2395590,0,10,0.543859649122807,0.543859649122807,OCNT-2395590,XDOGHRXULONTCX,CYP3A4,4,4,6.776572222
OCNT-2395279,JWGGVPCDAXNDKK,CYP3A4_R09_OCNT-2395674,0,1,0.7714285714285715,0.7714285714285715,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2395300,UUFANUQZEIXAIL,CYP3A4_R09_OCNT-2395674,0,2,0.684931506849315,0.684931506849315,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2395648,IJEYSVPOSBTGJK,CYP3A4_R09_OCNT-2395674,0,3,0.6666666666666666,0.6666666666666666,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2318616,RTVWVQOQWOQJJL,CYP3A4_R09_OCNT-2395674,0,4,0.5789473684210527,0.5789473684210527,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2395283,AVTCWHYPQDBLCG,CYP3A4_R09_OCNT-2395674,0,5,0.5616438356164384,0.5616438356164384,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2395555,SXXPSQHXVBZGFB,CYP3A4_R09_OCNT-2395674,0,6,0.5180722891566265,0.5180722891566265,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2395275,NGUMOZNITYCJGF,CYP3A4_R09_OCNT-2395674,0,7,0.4810126582278481,0.4810126582278481,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2395544,GQYUWLZNMAPXLB,CYP3A4_R09_OCNT-2395674,0,8,0.3855421686746988,0.3855421686746988,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2395530,KXEYOSCNJBANRN,CYP3A4_R09_OCNT-2395674,0,9,0.3493975903614458,0.3493975903614458,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2310365,WOTKHFGJCBUMBM,CYP3A4_R09_OCNT-2395674,0,10,0.34782608695652173,0.34782608695652173,OCNT-2395674,SFXWSPJNMWPVAR,CYP3A4,9,26,6.163297652
OCNT-2315179,YGEJAGMUFFRADY,CYP3A4_R14_OCNT-2309351,0,1,0.4305555555555556,0.4305555555555556,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2317895,CWBRZGJTIAQEGN,CYP3A4_R14_OCNT-2309351,0,2,0.40789473684210525,0.40789473684210525,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2309126,WOGQCARQKBERFP,CYP3A4_R14_OCNT-2309351,0,3,0.3972602739726027,0.3972602739726027,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2314759,YWMOZLLJWDAVMV,CYP3A4_R14_OCNT-2309351,0,4,0.39705882352941174,0.39705882352941174,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2316758,GYOKOBMVGURQDD,CYP3A4_R14_OCNT-2309351,0,5,0.38571428571428573,0.38571428571428573,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2317646,SVQWAVSVLIDPKU,CYP3A4_R14_OCNT-2309351,0,6,0.3815789473684211,0.3815789473684211,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2316921,LMBJRHSTZKEVBI,CYP3A4_R14_OCNT-2309351,0,7,0.37333333333333335,0.37333333333333335,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2310707,RZGDXDYNQPUJNA,CYP3A4_R14_OCNT-2309351,0,8,0.3611111111111111,0.3611111111111111,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2317626,DLBAMDGUUSBSOH,CYP3A4_R14_OCNT-2309351,0,9,0.3611111111111111,0.3611111111111111,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2310251,XSCFQDHSPXTQFT,CYP3A4_R14_OCNT-2309351,0,10,0.3424657534246575,0.3424657534246575,OCNT-2309351,XYQUEYBQTCSVQX,CYP3A4,14,49,5.96637383
OCNT-2395644,FNIGLKBHRGLAIU,CYP3A4_R19_OCNT-2311187,0,1,0.7446808510638298,0.7446808510638298,OCNT-2311187,FQQWSTJGVMFWSP,CYP3A4,19,79,5.8484545
OCNT-2395788,MOJVVQSWSMKIAN,CYP3A4_R19_OCNT-2311187,0,2,0.7,0.7,OCNT-2311187,FQQWSTJGVMFWSP,CYP3A4,19,79,5.8484545
